"Ativo","Data (EX-1)","Descrição","Fator"
"PCAR3<XBSP>","2019-03-28","Juros sobre o capital próprio de $0.67922 por ação",0.99273557457
"PCAR3<XBSP>","2019-06-27","Juros sobre o capital próprio de $0.12956 por ação",0.99860422656
"PETR3<XBSP>","2019-05-21","Juros sobre o capital próprio de $0.10 por ação",0.99652777778
"PETR3<XBSP>","2019-08-12","Juros sobre o capital próprio de $0.20 por ação",0.99281867145
"PETR3<XBSP>","2019-11-11","Juros sobre o capital próprio de $0.20 por ação",0.99396499698
"PETR4<XBSP>","2019-04-25","Dividendo de $0.019043 por ação",0.999315
"PETR4<XBSP>","2019-04-25","Dividendo de $374/M por ação",0.99998653754
"PETR4<XBSP>","2019-05-21","Juros sobre o capital próprio de $0.10 por ação",0.99622499056
"PETR4<XBSP>","2019-08-12","Juros sobre o capital próprio de $0.20 por ação",0.99220272904
"PETR4<XBSP>","2019-11-11","Juros sobre o capital próprio de $0.20 por ação",0.9934318555
"PETR4<XBSP>","2019-12-26","Juros sobre o capital próprio de $0.42 por ação",0.98641216435
"BRDT3<XBSP>","2019-04-24","Dividendo de $2.1195 por ação",0.91075626073
"BRDT3<XBSP>","2019-04-24","Dividendo de $0.041091 por ação",0.99810031779
"BRDT3<XBSP>","2019-12-04","Juros sobre o capital próprio de $0.46379 por ação",0.98325658982
"QUAL3<XBSP>","2019-04-29","Dividendo de $0.65932 por ação",0.96283442322
"QUAL3<XBSP>","2019-07-24","Dividendo de $0.64726 por ação",0.97142341333
"QUAL3<XBSP>","2019-10-18","Amortização de $3.4913 por cada título",0.89698155382
"RADL3<XBSP>","2019-03-26","Juros sobre o capital próprio de $0.17292 por ação",0.99738627625
"RADL3<XBSP>","2019-06-26","Juros sobre o capital próprio de $0.1623 por ação",0.99778878049
"RADL3<XBSP>","2019-09-26","Juros sobre o capital próprio de $0.15774 por ação",0.99835824397
"RADL3<XBSP>","2019-12-11","Juros sobre o capital próprio de $0.14864 por ação",0.99853557104
"RAIL3<XBSP>",,,
